sep=;
round;configuration;ml_model;fsm_version;result;duration_seconds;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
1;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;10,8800;Contested;2,6600;Tip;Tip;1;0;0;0;0;1;0
2;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,7000;Contested;1,4600;Tip;Tip;1;1;0;0;0;2;0
3;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;12,5000;FSM;1,5200;Blade;Tip;2;1;0;1;0;2;0
4;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0005;Contested;1,7200;Tip;Tip;2;1;1;1;0;3;0
5;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0004;FSM;1,7000;Blade;Tip;2;1;2;2;0;3;0
6;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6000;Contested;1,4000;Tip;Tip;2;2;2;2;0;4;0
7;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0005;ML;5,2800;Tip;Blade;2;2;3;2;1;4;0
8;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,4000;Contested;1,4200;Tip;Tip;2;3;3;2;1;5;0
9;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6800;None;;;;2;4;3;2;1;5;1
10;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,0800;Contested;1,5000;Tip;Tip;2;5;3;2;1;6;1
11;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,5400;Contested;3,0400;Tip;Tip;2;6;3;2;1;7;1
12;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0013;Contested;3,0200;Tip;Tip;2;6;4;2;1;8;1
13;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0086;Contested;3,0000;Tip;Tip;2;6;5;2;1;9;1
14;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,0400;Contested;1,4000;Tip;Tip;2;7;5;2;1;10;1
15;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;20,9800;ML;1,4800;Tip;Blade;3;7;5;2;2;10;1
16;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0011;Contested;8,8400;Tip;Tip;3;7;6;2;2;11;1
17;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0015;Contested;3,1600;Tip;Tip;3;7;7;2;2;12;1
18;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0007;Contested;3,3200;Tip;Tip;3;7;8;2;2;13;1
19;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,7000;Contested;1,4000;Tip;Tip;3;8;8;2;2;14;1
20;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,0600;Contested;1,4400;Tip;Tip;3;9;8;2;2;15;1
21;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0005;ML;7,0000;Tip;Blade;3;9;9;2;3;15;1
22;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,2400;ML;1,6000;Tip;Blade;3;10;9;2;4;15;1
23;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0003;Contested;3,2800;Tip;Tip;3;10;10;2;4;16;1
24;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,7000;Contested;2,9000;Tip;Tip;3;11;10;2;4;17;1
25;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,6800;Contested;3,1200;Tip;Tip;4;11;10;2;4;18;1
26;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,6400;Contested;1,5200;Tip;Tip;4;12;10;2;4;19;1
27;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;11,4000;Contested;1,5400;Tip;Tip;4;13;10;2;4;20;1
28;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,5600;Contested;1,4200;Tip;Tip;4;14;10;2;4;21;1
29;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,3600;Contested;1,3400;Tip;Tip;4;15;10;2;4;22;1
30;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;18,6200;ML;2,6600;Tip;Blade;5;15;10;2;5;22;1
31;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0003;ML;3,8400;Tip;Blade;5;15;11;2;6;22;1
32;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;16,9400;ML;3,1600;Tip;Blade;6;15;11;2;7;22;1
33;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;8,5800;Contested;1,4000;Tip;Tip;7;15;11;2;7;23;1
34;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0002;Contested;3,3400;Tip;Tip;7;15;12;2;7;24;1
35;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0002;Contested;3,1600;Tip;Tip;7;15;13;2;7;25;1
36;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,4600;None;;;;7;16;13;2;7;25;2
37;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,5400;ML;1,5200;Tip;Blade;7;17;13;2;8;25;2
38;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4,7400;Contested;1,4200;Tip;Tip;7;18;13;2;8;26;2
39;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0007;FSM;3,1200;Blade;Tip;7;18;14;3;8;26;2
40;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0009;ML;1,3199;Tip;Blade;7;18;15;3;9;26;2
41;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0003;ML;3,1800;Tip;Blade;7;18;16;3;10;26;2
42;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2200;Contested;1,4000;Tip;Tip;7;19;16;3;10;27;2
43;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0005;Contested;3,2401;Tip;Tip;7;19;17;3;10;28;2
44;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0012;Contested;3,3400;Tip;Tip;7;19;18;3;10;29;2
45;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;23,2800;Contested;1,7800;Tip;Tip;8;19;18;3;10;30;2
46;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;13,3600;Contested;3,2800;Tip;Tip;9;19;18;3;10;31;2
47;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,4200;Contested;1,4000;Tip;Tip;10;19;18;3;10;32;2
48;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;24,9800;ML;6,8800;Tip;Blade;11;19;18;3;11;32;2
49;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0015;ML;7,3800;Tip;Blade;11;19;19;3;12;32;2
50;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0010;Contested;4,7800;Tip;Tip;11;19;20;3;12;33;2
51;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,4600;None;;;;11;20;20;3;12;33;3
52;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;6,3800;Contested;3,7800;Tip;Tip;11;21;20;3;12;34;3
53;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0015;Contested;3,1000;Tip;Tip;11;21;21;3;12;35;3
54;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,3800;Contested;1,3800;Tip;Tip;11;22;21;3;12;36;3
55;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0004;Contested;7,3200;Tip;Tip;11;22;22;3;12;37;3
56;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,5400;Contested;1,4200;Tip;Tip;11;23;22;3;12;38;3
57;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;11,9400;Contested;3,0600;Tip;Tip;11;24;22;3;12;39;3
58;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,5200;ML;1,4800;Tip;Blade;11;25;22;3;13;39;3
59;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0013;Contested;6,9401;Tip;Tip;11;25;23;3;13;40;3
60;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;3,9800;None;;;;11;26;23;3;13;40;4
61;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,2401;None;;;;12;26;23;3;13;40;5
62;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,5800;Contested;1,3999;Tip;Tip;12;27;23;3;13;41;5
63;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;14,2600;ML;7,6600;Tip;Blade;13;27;23;3;14;41;5
64;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;0,6200;None;;;;14;27;23;3;14;41;6
65;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0007;Contested;5,5200;Tip;Tip;14;27;24;3;14;42;6
66;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;9,6000;ML;2,7800;Tip;Blade;14;28;24;3;15;42;6
67;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,6200;Contested;1,4399;Tip;Tip;14;29;24;3;15;43;6
68;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0002;Contested;1,5000;Tip;Tip;14;29;25;3;15;44;6
69;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,3800;ML;1,5000;Tip;Blade;14;30;25;3;16;44;6
70;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;18,9199;Contested;6,6400;Tip;Tip;15;30;25;3;16;45;6
71;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;10,8400;ML;2,8199;Tip;Blade;15;31;25;3;17;45;6
72;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,5400;Contested;1,4800;Tip;Tip;15;32;25;3;17;46;6
73;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;21,2400;Contested;3,4800;Tip;Tip;16;32;25;3;17;47;6
74;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;15,8800;Contested;3,1799;Tip;Tip;17;32;25;3;17;48;6
75;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;5,5200;None;;;;18;32;25;3;17;48;7
76;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0017;ML;3,1000;Tip;Blade;18;32;26;3;18;48;7
77;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;6,7800;ML;1,5400;Tip;Blade;19;32;26;3;19;48;7
78;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0007;Contested;7,0399;Tip;Tip;19;32;27;3;19;49;7
79;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,8199;None;;;;19;33;27;3;19;49;8
80;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;26,7800;Contested;1,7001;Tip;Tip;20;33;27;3;19;50;8
81;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;26,7000;Contested;3,3000;Tip;Tip;21;33;27;3;19;51;8
82;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0002;Contested;1,5000;Tip;Tip;21;33;28;3;19;52;8
83;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;13,1200;Contested;7,7200;Tip;Tip;22;33;28;3;19;53;8
84;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0011;Contested;3,4199;Tip;Tip;22;33;29;3;19;54;8
85;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0012;FSM;1,5599;Blade;Tip;22;33;30;4;19;54;8
86;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0006;ML;2,7600;Tip;Blade;22;33;31;4;20;54;8
87;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,0599;ML;1,5399;Tip;Blade;22;34;31;4;21;54;8
88;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0009;FSM;1,5200;Blade;Tip;22;34;32;5;21;54;8
89;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0002;Contested;1,3601;Tip;Tip;22;34;33;5;21;55;8
90;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;4,4601;None;;;;23;34;33;5;21;55;9
91;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7,7999;ML;1,6000;Tip;Blade;23;35;33;5;22;55;9
92;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;FSMWin;11,2999;Contested;1,3400;Tip;Tip;24;35;33;5;22;56;9
93;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0004;Contested;2,5801;Tip;Tip;24;35;34;5;22;57;9
94;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0006;Contested;3,2800;Tip;Tip;24;35;35;5;22;58;9
95;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,9200;Contested;1,4200;Tip;Tip;24;36;35;5;22;59;9
96;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5,2800;Contested;1,3800;Tip;Tip;24;37;35;5;22;60;9
97;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;10,1600;Contested;1,4399;Tip;Tip;24;38;35;5;22;61;9
98;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0010;Contested;3,2200;Tip;Tip;24;38;36;5;22;62;9
99;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;8,1000;Contested;3,2400;Tip;Tip;24;39;36;5;22;63;9
100;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30,0006;ML;3,8199;Tip;Blade;24;39;37;5;23;63;9
