sep=;
series_id;round;configuration;time_seconds;agent;agent_side;move_action;rotate_action;combined_action;behavior_state;opening_plan;sword_x;sword_y;tip_x;tip_y;handle_x;handle_y;my_threat_distance;opponent_threat_distance;threat_advantage;sword_distance
S03;1;H2H_ML_Left_FSM_Right;0,0000;FSM;Right;None;None;None_None;Opening;Upper;5,0000;-0,9994;5,0000;0,2006;5,0000;-2,1994;13,4500;13,3666;-0,0834;9,9769
S03;1;H2H_ML_Left_FSM_Right;0,0000;ML;Left;Right;Clockwise;Right_Clockwise;Attacking;;-4,9769;-0,9994;-4,9141;0,1989;-5,0397;-2,1978;13,3666;13,4500;0,0834;9,9769
S03;1;H2H_ML_Left_FSM_Right;0,1032;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Opening;Upper;4,8360;-0,9994;4,5254;0,1597;5,1466;-2,1585;12,9811;12,8667;-0,1144;9,6185
S03;1;H2H_ML_Left_FSM_Right;0,1032;ML;Left;Right;Clockwise;Right_Clockwise;Attacking;;-4,7825;-0,9994;-4,4117;0,1418;-5,1533;-2,1407;12,8667;12,9811;0,1144;9,6185
S03;1;H2H_ML_Left_FSM_Right;0,2043;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Opening;Upper;4,5541;-0,9994;3,9541;0,0398;5,1541;-2,0387;12,3984;12,2827;-0,1157;9,0509
S03;1;H2H_ML_Left_FSM_Right;0,2043;ML;Left;Right;Clockwise;Right_Clockwise;Attacking;;-4,4968;-0,9994;-3,8432;0,0070;-5,1503;-2,0058;12,2827;12,3984;0,1157;9,0509
S03;1;H2H_ML_Left_FSM_Right;0,3052;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Opening;Upper;4,2787;-1,0355;3,4302;-0,1870;5,1273;-1,8840;11,8334;11,7727;-0,0607;8,4850
S03;1;H2H_ML_Left_FSM_Right;0,3052;ML;Left;Right;None;Right_None;Attacking;;-4,2061;-0,9994;-3,3576;-0,1509;-5,0547;-1,8480;11,7727;11,8334;0,0607;8,4850
S03;1;H2H_ML_Left_FSM_Right;0,4059;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Opening;Upper;3,9902;-1,0399;2,9510;-0,4399;5,0294;-1,6399;11,3056;11,4389;0,1333;7,9060
S03;1;H2H_ML_Left_FSM_Right;0,4059;ML;Left;Right;Clockwise;Right_Clockwise;Neutral;;-3,9157;-0,9994;-3,0240;-0,1965;-4,8075;-1,8024;11,4389;11,3056;-0,1333;7,9060
S03;1;H2H_ML_Left_FSM_Right;0,5062;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Opening;Upper;3,7008;-1,0402;2,5417;-0,7296;4,8599;-1,3508;10,8387;10,9639;0,1252;7,3271
S03;1;H2H_ML_Left_FSM_Right;0,5062;ML;Left;Right;None;Right_None;Neutral;;-3,6262;-0,9994;-2,5870;-0,3994;-4,6654;-1,5994;10,9639;10,8387;-0,1252;7,3271
S03;1;H2H_ML_Left_FSM_Right;0,6062;FSM;Right;Left;CounterClockwise;Left_CounterClockwise;Opening;Upper;3,4123;-1,0402;2,2123;-1,0402;4,6123;-1,0402;10,4486;10,6421;0,1935;6,7502
S03;1;H2H_ML_Left_FSM_Right;0,6062;ML;Left;Right;Clockwise;Right_Clockwise;Neutral;;-3,3377;-0,9994;-2,2685;-0,4546;-4,4070;-1,5442;10,6421;10,4486;-0,1935;6,7502
S03;1;H2H_ML_Left_FSM_Right;0,7066;FSM;Right;Left;None;Left_None;Opening;Upper;3,1230;-1,0402;1,9492;-1,2897;4,2968;-0,7907;10,1404;10,2154;0,0750;6,1715
S03;1;H2H_ML_Left_FSM_Right;0,7066;ML;Left;Right;None;Right_None;Neutral;;-3,0484;-0,9994;-1,8893;-0,6888;-4,2075;-1,3100;10,2154;10,1404;-0,0750;6,1715
S03;1;H2H_ML_Left_FSM_Right;0,8068;FSM;Right;Left;None;Left_None;Opening;Upper;2,8339;-1,0402;1,6601;-1,2897;4,0076;-0,7907;9,8569;9,9060;0,0492;5,5933
S03;1;H2H_ML_Left_FSM_Right;0,8068;ML;Left;Right;Clockwise;Right_Clockwise;Attacking;;-2,7593;-0,9994;-1,5855;-0,7499;-3,9330;-1,2489;9,9060;9,8569;-0,0492;5,5933
S03;1;H2H_ML_Left_FSM_Right;0,9070;FSM;Right;Left;None;Left_None;Opening;Upper;2,5448;-1,0402;1,3711;-1,2897;3,7186;-0,7907;9,5738;9,5394;-0,0344;5,0152
S03;1;H2H_ML_Left_FSM_Right;0,9070;ML;Left;Right;None;Right_None;Attacking;;-2,4702;-0,9994;-1,2702;-0,9994;-3,6702;-0,9994;9,5394;9,5738;0,0344;5,0152
S03;1;H2H_ML_Left_FSM_Right;1,0080;FSM;Right;Left;None;Left_None;Opening;Upper;2,2534;-1,0402;1,0796;-1,2897;3,4272;-0,7907;9,2887;9,2564;-0,0323;4,4324
S03;1;H2H_ML_Left_FSM_Right;1,0080;ML;Left;Right;None;Right_None;Attacking;;-2,1788;-0,9994;-0,9788;-0,9994;-3,3788;-0,9994;9,2564;9,2887;0,0323;4,4324
S03;1;H2H_ML_Left_FSM_Right;1,1084;FSM;Right;DownLeft;None;DownLeft_None;Opening;Upper;1,9668;-1,0470;0,7930;-1,2965;3,1405;-0,7976;9,0072;8,9935;-0,0138;3,8564
S03;1;H2H_ML_Left_FSM_Right;1,1084;ML;Left;Right;CounterClockwise;Right_CounterClockwise;Attacking;;-1,8893;-0,9994;-0,6910;-0,9366;-3,0877;-1,0622;8,9935;9,0072;0,0138;3,8564
S03;1;H2H_ML_Left_FSM_Right;1,2087;FSM;Right;Left;None;Left_None;Opening;Upper;1,7193;-1,1483;0,5456;-1,3978;2,8931;-0,8988;8,7439;8,8207;0,0768;3,3227
S03;1;H2H_ML_Left_FSM_Right;1,2087;ML;Left;Right;None;Right_None;Neutral;;-1,6000;-0,9994;-0,4409;-0,6888;-2,7591;-1,3100;8,8207;8,7439;-0,0768;3,3227
S03;1;H2H_ML_Left_FSM_Right;1,3092;FSM;Right;DownLeft;None;DownLeft_None;Opening;Upper;1,4669;-1,2391;0,2931;-1,4886;2,6407;-0,9896;8,4780;8,5435;0,0656;2,7871
S03;1;H2H_ML_Left_FSM_Right;1,3092;ML;Left;Right;None;Right_None;Neutral;;-1,3099;-0,9994;-0,1508;-0,6888;-2,4690;-1,3100;8,5435;8,4780;-0,0656;2,7871
S03;1;H2H_ML_Left_FSM_Right;1,4105;FSM;Right;Left;None;Left_None;Opening;Upper;1,2153;-1,3368;0,0415;-1,5863;2,3891;-1,0873;8,2117;8,2654;0,0537;2,2585
S03;1;H2H_ML_Left_FSM_Right;1,4105;ML;Left;Right;None;Right_None;Neutral;;-1,0178;-0,9994;0,1413;-0,6888;-2,1770;-1,3100;8,2654;8,2117;-0,0537;2,2585
S03;1;H2H_ML_Left_FSM_Right;1,5110;FSM;Right;Left;None;Left_None;Opening;Upper;0,9630;-1,4275;-0,2108;-1,6770;2,1367;-1,1781;7,9463;7,9902;0,0439;1,7443
S03;1;H2H_ML_Left_FSM_Right;1,5110;ML;Left;Right;None;Right_None;Attacking;;-0,7279;-0,9994;0,4312;-0,6888;-1,8870;-1,3100;7,9902;7,9463;-0,0439;1,7443
S03;1;H2H_ML_Left_FSM_Right;1,6117;FSM;Right;Left;None;Left_None;Opening;Upper;0,7157;-1,5323;-0,4580;-1,7817;1,8895;-1,2828;7,6834;7,7155;0,0321;1,2702
S03;1;H2H_ML_Left_FSM_Right;1,6117;ML;Left;Right;None;Right_None;Attacking;;-0,4373;-0,9994;0,7218;-0,6888;-1,5964;-1,3100;7,7155;7,6834;-0,0321;1,2702
S03;1;H2H_ML_Left_FSM_Right;1,7128;FSM;Right;DownLeft;Clockwise;DownLeft_Clockwise;ContactControl;Upper;0,4649;-1,6306;-0,7335;-1,6934;1,6632;-1,5678;7,4313;7,4411;0,0098;0,8782
S03;1;H2H_ML_Left_FSM_Right;1,7128;ML;Left;Right;None;Right_None;Contact;;-0,1458;-0,9994;1,0134;-0,6888;-1,3049;-1,3100;7,4411;7,4313;-0,0098;0,8782
S03;1;H2H_ML_Left_FSM_Right;1,8133;FSM;Right;Up;Clockwise;Up_Clockwise;ContactControl;Upper;0,2655;-1,7969;-0,9197;-1,6092;1,4508;-1,9846;7,2678;7,1687;-0,0991;0,9197
