sep=;
series_id;round;configuration;ml_model;fsm_version;result;winner;winner_side;duration_seconds;score_differential_ml_minus_fsm;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
S05;1;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;13,3000;-1;FSM;1,7000;Blade;Tip;1;0;0;1;0;0;0
S05;2;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0008;-1;ML;4,9800;Tip;Blade;1;0;1;1;1;0;0
S05;3;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0008;-1;Contested;3,2600;Tip;Tip;1;0;2;1;1;1;0
S05;4;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;8,4800;0;Contested;1,4200;Tip;Tip;1;1;2;1;1;2;0
S05;5;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;8,5600;-1;ML;5,6000;Tip;Blade;2;1;2;1;2;2;0
S05;6;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0015;-1;Contested;3,2600;Tip;Tip;2;1;3;1;2;3;0
S05;7;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;6,8000;0;Contested;1,3800;Tip;Tip;2;2;3;1;2;4;0
S05;8;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;25,0400;-1;Contested;1,4800;Tip;Tip;3;2;3;1;2;5;0
S05;9;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0006;-1;Contested;1,3800;Tip;Tip;3;2;4;1;2;6;0
S05;10;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;15,4400;-2;Contested;5,2800;Tip;Tip;4;2;4;1;2;7;0
S05;11;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0009;-2;Contested;5,0200;Tip;Tip;4;2;5;1;2;8;0
S05;12;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;5,6400;-3;None;;;;5;2;5;1;2;8;1
S05;13;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;22,2800;-4;ML;5,8600;Tip;Blade;6;2;5;1;3;8;1
S05;14;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0007;-4;ML;3,1800;Tip;Blade;6;2;6;1;4;8;1
S05;15;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0013;-4;Contested;1,3400;Tip;Tip;6;2;7;1;4;9;1
S05;16;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;7,8200;-5;Contested;2,3200;Tip;Tip;7;2;7;1;4;10;1
S05;17;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0013;-5;ML;8,6800;Tip;Blade;7;2;8;1;5;10;1
S05;18;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0008;-5;Contested;5,4200;Tip;Tip;7;2;9;1;5;11;1
S05;19;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;28,0000;-6;Contested;6,9800;Tip;Tip;8;2;9;1;5;12;1
S05;20;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;5,6200;-5;Contested;1,4400;Tip;Tip;8;3;9;1;5;13;1
S05;21;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;11,4200;-4;Contested;3,0200;Tip;Tip;8;4;9;1;5;14;1
S05;22;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;9,0000;-3;ML;1,4800;Tip;Blade;8;5;9;1;6;14;1
S05;23;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;15,7200;-4;Contested;1,4200;Tip;Tip;9;5;9;1;6;15;1
S05;24;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0011;-4;Contested;1,4000;Tip;Tip;9;5;10;1;6;16;1
S05;25;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;8,3800;-3;Contested;3,5600;Tip;Tip;9;6;10;1;6;17;1
S05;26;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;6,0400;-2;Contested;1,3800;Tip;Tip;9;7;10;1;6;18;1
S05;27;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0008;-2;Contested;3,4600;Tip;Tip;9;7;11;1;6;19;1
S05;28;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;12,9800;-3;ML;1,5000;Tip;Blade;10;7;11;1;7;19;1
S05;29;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0012;-3;Contested;1,3800;Tip;Tip;10;7;12;1;7;20;1
S05;30;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Right;7,9800;-2;Contested;3,0000;Tip;Tip;10;8;12;1;7;21;1
S05;31;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;4,7200;-3;FSM;3,5200;Blade;Tip;11;8;12;2;7;21;1
S05;32;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0004;-3;ML;1,5400;Tip;Blade;11;8;13;2;8;21;1
S05;33;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;7,3600;-4;Contested;1,4399;Tip;Tip;12;8;13;2;8;22;1
S05;34;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0000;-4;Contested;9,4400;Tip;Tip;12;8;14;2;8;23;1
S05;35;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0006;-4;Contested;7,2600;Tip;Tip;12;8;15;2;8;24;1
S05;36;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;24,3400;-5;Contested;1,5000;Tip;Tip;13;8;15;2;8;25;1
S05;37;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;5,2400;-6;None;;;;14;8;15;2;8;25;2
S05;38;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0012;-6;Contested;1,4600;Tip;Tip;14;8;16;2;8;26;2
S05;39;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;15,3400;-7;Contested;5,1600;Tip;Tip;15;8;16;2;8;27;2
S05;40;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;0,4600;-8;None;;;;16;8;16;2;8;27;3
S05;41;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0010;-8;ML;3,0000;Tip;Blade;16;8;17;2;9;27;3
S05;42;H2H_FSM_Left_ML_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Left;4,3600;-9;None;;;;17;8;17;2;9;27;4
