sep=;
series_id;round;configuration;ml_model;fsm_version;result;winner;winner_side;duration_seconds;score_differential_ml_minus_fsm;first_clash_owner;time_to_first_clash_seconds;first_clash_fsm_part;first_clash_ml_part;fsm_wins_total;ml_wins_total;draws_total;fsm_first_clashes_total;ml_first_clashes_total;contested_first_clashes_total;no_first_clashes_total
S02;1;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;27,2200;-1;Contested;3,1400;Tip;Tip;1;0;0;0;0;1;0
S02;2;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,6400;0;Contested;3,2800;Tip;Tip;1;1;0;0;0;2;0
S02;3;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;4,8800;1;None;;;;1;2;0;0;0;2;1
S02;4;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;Draw;Draw;Draw;30,0009;1;ML;8,3200;Tip;Blade;1;2;1;0;1;2;1
S02;5;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;5,1400;2;None;;;;1;3;1;0;1;2;2
S02;6;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;11,3600;1;Contested;1,3400;Tip;Tip;2;3;1;0;1;3;2
S02;7;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;5,4600;2;None;;;;2;4;1;0;1;3;3
S02;8;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;7,4600;3;Contested;1,4200;Tip;Tip;2;5;1;0;1;4;3
S02;9;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;6,8600;4;ML;1,6000;Tip;Blade;2;6;1;0;2;4;3
S02;10;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;4,2600;3;None;;;;3;6;1;0;2;4;4
S02;11;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;5,0800;4;Contested;1,4600;Tip;Tip;3;7;1;0;2;5;4
S02;12;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;FSMWin;FSM;Right;11,1200;3;Contested;3,7800;Tip;Tip;4;7;1;0;2;6;4
S02;13;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;4,8600;4;None;;;;4;8;1;0;2;6;5
S02;14;H2H_ML_Left_FSM_Right;ML_Final;FSM_Final_Calibrated;MLWin;ML;Left;3,4400;5;None;;;;4;9;1;0;2;6;6
