round;configuration;ml_model;fsm_version;result;duration_seconds;time_to_first_hit_seconds;fsm_wins_total;ml_wins_total;draws_total;fsm_first_hits_total;ml_first_hits_total
1;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30.0006;-1.0000;0;0;1;0;0
2;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30.0011;-1.0000;0;0;2;0;0
3;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7.0366;7.0366;0;1;2;0;1
4;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;Draw;30.0005;-1.0000;0;1;3;0;1
5;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;7.1171;7.1171;0;2;3;0;2
6;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;0.0083;0.0083;0;3;3;0;3
7;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5.7689;5.7689;0;4;3;0;4
8;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;4.4487;4.4487;0;5;3;0;5
9;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;0.0098;0.0098;0;6;3;0;6
10;FSM_Left_ML_Right;FencingSword_CounterPenalty_Draw_15M;FSM_Current;MLWin;5.7078;5.7078;0;7;3;0;7
